\\Generator Output Capability Month Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2024-01-03 06:00:13,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For January 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Date,Generator,Fuel Type,Measurement,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
2024-01-01,BOW LAKE 2,WIND,Available Capacity,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
2024-01-01,BOW LAKE 2,WIND,Forecast,0,0,0,0,0,0,0,1,3,4,8,10,12,16,16,16,18,15,13,17,22,25,23,26,
2024-01-01,BOW LAKE 2,WIND,Output,0,0,0,0,0,0,0,1,4,5,8,11,13,17,16,17,18,15,12,19,24,26,23,27,
2024-01-01,BRIGHTON BEACH,GAS,Capability,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,
2024-01-01,BRIGHTON BEACH,GAS,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,32,142,285,291,298,295,78,0,0,0,0,
2024-01-01,BRUCEA-G1,NUCLEAR,Capability,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,822,
2024-01-01,BRUCEA-G1,NUCLEAR,Output,812,813,814,815,816,819,819,818,818,818,817,817,817,816,816,815,815,815,815,815,815,813,811,812,
2024-01-01,BRUCEA-G2,NUCLEAR,Capability,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,828,
2024-01-01,BRUCEA-G2,NUCLEAR,Output,818,818,817,818,818,818,818,818,818,818,820,820,820,819,820,819,820,819,819,819,819,818,818,818,
2024-01-01,BRUCEA-G3,NUCLEAR,Capability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
