,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Mon Nov 15, 10 PM - 11 PM","2,262 MW","1,915 MW",-347 MW,"14,987 MW","15,334 MW",795 tonnes,53 g/kWh,56.3%,22.3%,11.9%,8.9%,0.5%,0.0%,"8,445 MW","3,346 MW","1,787 MW","1,333 MW",76 MW,0 MW
"Tue Nov 16, 11 PM - 12 AM","2,300 MW","1,969 MW",-331 MW,"14,084 MW","14,415 MW",672 tonnes,48 g/kWh,60.0%,20.3%,10.9%,8.3%,0.6%,0.0%,"8,449 MW","2,855 MW","1,531 MW","1,165 MW",84 MW,0 MW
"Tue Nov 16, 12 AM - 1 AM","1,565 MW","1,894 MW",329 MW,"14,185 MW","13,856 MW",675 tonnes,48 g/kWh,59.6%,20.0%,10.8%,9.0%,0.5%,0.0%,"8,460 MW","2,840 MW","1,538 MW","1,282 MW",65 MW,0 MW
"Tue Nov 16, 1 AM - 2 AM","1,028 MW","1,977 MW",949 MW,"14,284 MW","13,335 MW",686 tonnes,48 g/kWh,59.3%,19.7%,10.9%,9.5%,0.5%,0.0%,"8,468 MW","2,819 MW","1,560 MW","1,364 MW",73 MW,0 MW
"Tue Nov 16, 2 AM - 3 AM",431 MW,"1,772 MW","1,341 MW","14,453 MW","13,112 MW",726 tonnes,50 g/kWh,58.6%,19.0%,11.4%,10.6%,0.4%,0.0%,"8,469 MW","2,751 MW","1,641 MW","1,533 MW",59 MW,0 MW
"Tue Nov 16, 3 AM - 4 AM",420 MW,"1,770 MW","1,350 MW","14,432 MW","13,082 MW",816 tonnes,57 g/kWh,58.7%,19.5%,12.8%,8.6%,0.4%,0.0%,"8,471 MW","2,814 MW","1,841 MW","1,247 MW",59 MW,0 MW
"Tue Nov 16, 4 AM - 5 AM",911 MW,"2,000 MW","1,089 MW","14,379 MW","13,290 MW",889 tonnes,62 g/kWh,59.0%,19.3%,14.1%,7.2%,0.4%,0.0%,"8,485 MW","2,775 MW","2,022 MW","1,038 MW",59 MW,0 MW
"Tue Nov 16, 5 AM - 6 AM","1,506 MW","2,269 MW",763 MW,"14,687 MW","13,924 MW",981 tonnes,67 g/kWh,57.8%,20.2%,15.8%,5.7%,0.5%,0.0%,"8,494 MW","2,964 MW","2,320 MW",836 MW,73 MW,0 MW
"Tue Nov 16, 6 AM - 7 AM","2,075 MW","2,261 MW",186 MW,"15,327 MW","15,141 MW","1,064 tonnes",69 g/kWh,55.4%,22.1%,17.3%,4.6%,0.6%,0.0%,"8,489 MW","3,382 MW","2,646 MW",711 MW,99 MW,0 MW
"Tue Nov 16, 7 AM - 8 AM","2,116 MW","2,317 MW",201 MW,"16,432 MW","16,231 MW","1,127 tonnes",69 g/kWh,51.7%,24.5%,17.7%,5.6%,0.5%,0.0%,"8,489 MW","4,020 MW","2,914 MW",919 MW,84 MW,6 MW
