,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Fri Nov 19, 7 PM - 8 PM","1,583 MW","1,888 MW",305 MW,"17,292 MW","16,987 MW","1,172 tonnes",68 g/kWh,49.3%,26.2%,19.8%,4.3%,0.4%,0.0%,"8,526 MW","4,530 MW","3,424 MW",739 MW,73 MW,0 MW
"Fri Nov 19, 8 PM - 9 PM","1,883 MW","2,084 MW",201 MW,"16,932 MW","16,731 MW","1,069 tonnes",63 g/kWh,50.4%,26.0%,18.2%,5.0%,0.4%,0.0%,"8,526 MW","4,401 MW","3,077 MW",854 MW,74 MW,0 MW
"Fri Nov 19, 9 PM - 10 PM","1,928 MW","2,028 MW",100 MW,"16,185 MW","16,085 MW","1,073 tonnes",66 g/kWh,52.6%,24.5%,16.7%,5.8%,0.5%,0.0%,"8,515 MW","3,966 MW","2,696 MW",935 MW,73 MW,0 MW
"Fri Nov 19, 10 PM - 11 PM","1,912 MW","2,008 MW",96 MW,"15,286 MW","15,190 MW",953 tonnes,62 g/kWh,55.8%,23.2%,14.0%,6.5%,0.5%,0.0%,"8,532 MW","3,539 MW","2,147 MW",995 MW,73 MW,0 MW
"Sat Nov 20, 11 PM - 12 AM","2,334 MW","1,857 MW",-477 MW,"13,859 MW","14,336 MW",413 tonnes,30 g/kWh,61.5%,22.5%,6.2%,9.3%,0.4%,0.0%,"8,528 MW","3,116 MW",859 MW,"1,294 MW",62 MW,0 MW
"Sat Nov 20, 12 AM - 1 AM","2,349 MW","2,286 MW",-63 MW,"13,472 MW","13,535 MW",180 tonnes,13 g/kWh,63.3%,21.7%,2.8%,11.8%,0.4%,0.0%,"8,529 MW","2,921 MW",382 MW,"1,586 MW",54 MW,0 MW
"Sat Nov 20, 1 AM - 2 AM","1,908 MW","2,191 MW",283 MW,"13,400 MW","13,117 MW",150 tonnes,11 g/kWh,63.7%,21.3%,2.4%,12.2%,0.4%,0.0%,"8,536 MW","2,853 MW",323 MW,"1,641 MW",47 MW,0 MW
"Sat Nov 20, 2 AM - 3 AM","1,639 MW","2,332 MW",693 MW,"13,533 MW","12,840 MW",150 tonnes,11 g/kWh,63.1%,21.3%,2.4%,12.9%,0.3%,0.0%,"8,539 MW","2,884 MW",323 MW,"1,740 MW",47 MW,0 MW
"Sat Nov 20, 3 AM - 4 AM","1,197 MW","2,333 MW","1,136 MW","13,964 MW","12,828 MW",196 tonnes,14 g/kWh,61.2%,21.9%,3.1%,13.5%,0.3%,0.0%,"8,542 MW","3,064 MW",426 MW,"1,886 MW",46 MW,0 MW
"Sat Nov 20, 4 AM - 5 AM","1,028 MW","2,554 MW","1,526 MW","14,287 MW","12,761 MW",277 tonnes,19 g/kWh,59.8%,20.5%,4.3%,15.0%,0.3%,0.0%,"8,542 MW","2,932 MW",621 MW,"2,146 MW",46 MW,0 MW
"Sat Nov 20, 5 AM - 6 AM",893 MW,"2,710 MW","1,817 MW","14,890 MW","13,073 MW",367 tonnes,25 g/kWh,57.4%,19.8%,5.9%,16.7%,0.3%,0.0%,"8,544 MW","2,943 MW",874 MW,"2,482 MW",47 MW,0 MW
"Sat Nov 20, 6 AM - 7 AM",681 MW,"2,603 MW","1,922 MW","15,446 MW","13,524 MW",544 tonnes,35 g/kWh,55.3%,18.8%,8.6%,17.1%,0.3%,0.0%,"8,547 MW","2,897 MW","1,322 MW","2,634 MW",46 MW,0 MW
"Sat Nov 20, 7 AM - 8 AM",536 MW,"2,452 MW","1,916 MW","15,953 MW","14,037 MW",580 tonnes,36 g/kWh,53.6%,20.9%,8.8%,16.4%,0.3%,0.0%,"8,546 MW","3,341 MW","1,406 MW","2,609 MW",46 MW,5 MW
"Sat Nov 20, 8 AM - 9 AM",510 MW,"2,382 MW","1,872 MW","16,388 MW","14,516 MW",664 tonnes,41 g/kWh,52.1%,21.5%,9.6%,16.3%,0.3%,0.2%,"8,543 MW","3,525 MW","1,570 MW","2,677 MW",46 MW,27 MW
"Sat Nov 20, 9 AM - 10 AM",174 MW,"2,245 MW","2,071 MW","16,994 MW","14,923 MW",734 tonnes,43 g/kWh,50.3%,22.2%,10.1%,16.9%,0.3%,0.3%,"8,540 MW","3,772 MW","1,708 MW","2,874 MW",47 MW,53 MW
"Sat Nov 20, 10 AM - 11 AM",485 MW,"2,438 MW","1,953 MW","17,062 MW","15,109 MW",770 tonnes,45 g/kWh,50.1%,21.2%,10.5%,17.4%,0.3%,0.5%,"8,542 MW","3,622 MW","1,795 MW","2,965 MW",46 MW,92 MW
"Sat Nov 20, 11 AM - 12 PM",810 MW,"2,357 MW","1,547 MW","16,957 MW","15,410 MW",894 tonnes,53 g/kWh,50.4%,19.7%,12.6%,16.4%,0.3%,0.7%,"8,539 MW","3,337 MW","2,133 MW","2,781 MW",47 MW,120 MW
"Sat Nov 20, 12 PM - 1 PM",783 MW,"2,215 MW","1,432 MW","16,878 MW","15,446 MW",922 tonnes,55 g/kWh,50.6%,20.0%,13.9%,14.6%,0.3%,0.7%,"8,542 MW","3,375 MW","2,341 MW","2,460 MW",46 MW,114 MW
"Sat Nov 20, 1 PM - 2 PM",883 MW,"2,367 MW","1,484 MW","16,990 MW","15,506 MW",988 tonnes,58 g/kWh,50.3%,19.8%,15.5%,13.6%,0.3%,0.5%,"8,550 MW","3,365 MW","2,633 MW","2,310 MW",46 MW,86 MW
"Sat Nov 20, 2 PM - 3 PM",765 MW,"2,224 MW","1,459 MW","17,036 MW","15,577 MW","1,043 tonnes",61 g/kWh,50.2%,20.6%,16.7%,12.0%,0.3%,0.2%,"8,553 MW","3,505 MW","2,846 MW","2,047 MW",46 MW,39 MW
"Sat Nov 20, 3 PM - 4 PM","1,383 MW","2,229 MW",846 MW,"16,639 MW","15,793 MW",857 tonnes,51 g/kWh,51.4%,22.7%,15.8%,9.7%,0.3%,0.1%,"8,547 MW","3,774 MW","2,634 MW","1,619 MW",47 MW,18 MW
"Sat Nov 20, 4 PM - 5 PM","1,600 MW","2,280 MW",680 MW,"17,095 MW","16,415 MW",853 tonnes,50 g/kWh,50.0%,24.7%,15.4%,9.6%,0.3%,0.0%,"8,544 MW","4,217 MW","2,638 MW","1,648 MW",46 MW,2 MW
"Sat Nov 20, 5 PM - 6 PM","1,889 MW","2,582 MW",693 MW,"17,727 MW","17,034 MW",909 tonnes,51 g/kWh,48.1%,25.2%,15.5%,10.9%,0.3%,0.0%,"8,535 MW","4,472 MW","2,748 MW","1,926 MW",46 MW,0 MW
"Sat Nov 20, 6 PM - 7 PM","1,833 MW","2,338 MW",505 MW,"17,046 MW","16,541 MW",696 tonnes,41 g/kWh,50.1%,23.8%,13.1%,12.8%,0.3%,0.0%,"8,536 MW","4,055 MW","2,226 MW","2,182 MW",47 MW,0 MW
"Sat Nov 20, 7 PM - 8 PM","1,857 MW","2,267 MW",410 MW,"16,461 MW","16,051 MW",465 tonnes,28 g/kWh,51.9%,23.1%,10.0%,14.8%,0.3%,0.0%,"8,537 MW","3,801 MW","1,644 MW","2,433 MW",46 MW,0 MW
"Sat Nov 20, 8 PM - 9 PM","1,865 MW","2,274 MW",409 MW,"15,946 MW","15,537 MW",363 tonnes,23 g/kWh,53.5%,22.4%,8.6%,15.1%,0.3%,0.0%,"8,535 MW","3,576 MW","1,378 MW","2,411 MW",46 MW,0 MW
"Sat Nov 20, 9 PM - 10 PM","1,867 MW","2,389 MW",522 MW,"15,251 MW","14,729 MW",359 tonnes,24 g/kWh,56.0%,23.1%,6.4%,14.2%,0.3%,0.0%,"8,533 MW","3,529 MW",970 MW,"2,173 MW",46 MW,0 MW
"Sat Nov 20, 10 PM - 11 PM","1,716 MW","2,175 MW",459 MW,"14,627 MW","14,168 MW",341 tonnes,23 g/kWh,58.4%,24.6%,4.5%,12.2%,0.3%,0.0%,"8,549 MW","3,600 MW",654 MW,"1,778 MW",46 MW,0 MW
"Sun Nov 21, 11 PM - 12 AM","1,803 MW","2,225 MW",422 MW,"13,879 MW","13,457 MW",334 tonnes,24 g/kWh,61.6%,25.9%,4.4%,7.8%,0.3%,0.0%,"8,554 MW","3,591 MW",612 MW,"1,076 MW",46 MW,0 MW
"Sun Nov 21, 12 AM - 1 AM","1,938 MW","2,129 MW",191 MW,"13,259 MW","13,068 MW",225 tonnes,17 g/kWh,64.5%,26.7%,2.9%,5.6%,0.3%,0.0%,"8,552 MW","3,536 MW",385 MW,740 MW,46 MW,0 MW
"Sun Nov 21, 1 AM - 2 AM",949 MW,"1,513 MW",564 MW,"13,064 MW","12,500 MW",172 tonnes,13 g/kWh,65.5%,27.7%,2.2%,4.4%,0.4%,0.0%,"8,552 MW","3,614 MW",282 MW,569 MW,47 MW,0 MW
"Sun Nov 21, 2 AM - 3 AM","1,733 MW","1,883 MW",150 MW,"12,548 MW","12,398 MW",233 tonnes,19 g/kWh,68.2%,25.5%,3.5%,2.4%,0.4%,0.0%,"8,553 MW","3,203 MW",440 MW,305 MW,47 MW,0 MW
"Sun Nov 21, 3 AM - 4 AM","1,233 MW","1,795 MW",562 MW,"12,887 MW","12,325 MW",457 tonnes,35 g/kWh,66.4%,24.1%,7.8%,1.3%,0.4%,0.0%,"8,555 MW","3,111 MW","1,011 MW",164 MW,46 MW,0 MW
"Sun Nov 21, 4 AM - 5 AM","1,491 MW","1,776 MW",285 MW,"12,705 MW","12,420 MW",457 tonnes,36 g/kWh,67.3%,22.9%,8.1%,1.4%,0.4%,0.0%,"8,549 MW","2,915 MW","1,023 MW",172 MW,46 MW,0 MW
"Sun Nov 21, 5 AM - 6 AM","1,847 MW","1,974 MW",127 MW,"12,673 MW","12,546 MW",401 tonnes,32 g/kWh,67.5%,22.5%,7.4%,2.3%,0.4%,0.0%,"8,549 MW","2,853 MW",937 MW,288 MW,46 MW,0 MW
"Sun Nov 21, 6 AM - 7 AM","1,641 MW","2,004 MW",363 MW,"13,333 MW","12,970 MW",474 tonnes,36 g/kWh,64.1%,23.8%,8.4%,3.3%,0.4%,0.0%,"8,551 MW","3,172 MW","1,125 MW",438 MW,47 MW,0 MW
"Sun Nov 21, 7 AM - 8 AM","1,845 MW","2,021 MW",176 MW,"13,777 MW","13,601 MW",488 tonnes,35 g/kWh,62.2%,24.8%,8.4%,4.2%,0.3%,0.1%,"8,564 MW","3,418 MW","1,161 MW",580 MW,47 MW,7 MW
"Sun Nov 21, 8 AM - 9 AM","1,672 MW","2,024 MW",352 MW,"14,490 MW","14,138 MW",493 tonnes,34 g/kWh,59.1%,26.0%,8.1%,6.0%,0.3%,0.4%,"8,570 MW","3,774 MW","1,176 MW",863 MW,47 MW,60 MW
"Sun Nov 21, 9 AM - 10 AM",840 MW,"1,443 MW",603 MW,"14,774 MW","14,171 MW",475 tonnes,32 g/kWh,58.0%,25.0%,7.7%,8.1%,0.3%,1.0%,"8,565 MW","3,694 MW","1,136 MW","1,191 MW",46 MW,142 MW
"Sun Nov 21, 10 AM - 11 AM","1,046 MW","1,600 MW",554 MW,"14,977 MW","14,423 MW",533 tonnes,36 g/kWh,57.2%,23.4%,8.7%,9.4%,0.3%,1.0%,"8,566 MW","3,508 MW","1,297 MW","1,406 MW",46 MW,154 MW
"Sun Nov 21, 11 AM - 12 PM","1,916 MW","2,096 MW",180 MW,"14,894 MW","14,714 MW",430 tonnes,29 g/kWh,57.5%,22.0%,7.0%,12.2%,0.3%,1.0%,"8,563 MW","3,277 MW","1,050 MW","1,814 MW",47 MW,143 MW
"Sun Nov 21, 12 PM - 1 PM","1,266 MW","2,029 MW",763 MW,"15,704 MW","14,941 MW",406 tonnes,26 g/kWh,54.5%,22.6%,6.3%,15.4%,0.3%,0.9%,"8,563 MW","3,546 MW",992 MW,"2,415 MW",46 MW,142 MW
"Sun Nov 21, 1 PM - 2 PM","1,811 MW","2,267 MW",456 MW,"15,571 MW","15,115 MW",452 tonnes,29 g/kWh,55.0%,20.8%,7.6%,15.6%,0.3%,0.6%,"8,563 MW","3,242 MW","1,191 MW","2,432 MW",46 MW,97 MW
"Sun Nov 21, 2 PM - 3 PM","1,437 MW","2,352 MW",915 MW,"16,196 MW","15,281 MW",493 tonnes,30 g/kWh,52.9%,20.5%,9.2%,16.9%,0.3%,0.2%,"8,567 MW","3,319 MW","1,491 MW","2,742 MW",46 MW,31 MW
"Sun Nov 21, 3 PM - 4 PM",885 MW,"1,896 MW","1,011 MW","16,754 MW","15,743 MW",468 tonnes,28 g/kWh,51.1%,20.8%,10.2%,17.5%,0.3%,0.1%,"8,568 MW","3,490 MW","1,702 MW","2,937 MW",47 MW,10 MW
"Sun Nov 21, 4 PM - 5 PM",878 MW,"2,002 MW","1,124 MW","17,608 MW","16,484 MW",566 tonnes,32 g/kWh,48.6%,22.2%,11.1%,17.8%,0.3%,0.0%,"8,564 MW","3,905 MW","1,950 MW","3,142 MW",46 MW,1 MW
"Sun Nov 21, 5 PM - 6 PM","1,816 MW","2,599 MW",783 MW,"18,052 MW","17,269 MW",563 tonnes,31 g/kWh,47.4%,21.7%,10.7%,19.9%,0.3%,0.0%,"8,558 MW","3,920 MW","1,939 MW","3,589 MW",46 MW,0 MW
"Sun Nov 21, 6 PM - 7 PM",855 MW,"2,341 MW","1,486 MW","18,023 MW","16,537 MW",564 tonnes,31 g/kWh,47.5%,20.6%,10.7%,20.9%,0.3%,0.0%,"8,568 MW","3,714 MW","1,933 MW","3,762 MW",46 MW,0 MW
"Sun Nov 21, 7 PM - 8 PM",248 MW,"2,193 MW","1,945 MW","18,026 MW","16,081 MW",562 tonnes,31 g/kWh,47.5%,18.7%,10.7%,22.8%,0.3%,0.0%,"8,570 MW","3,376 MW","1,928 MW","4,106 MW",46 MW,0 MW
"Sun Nov 21, 8 PM - 9 PM",172 MW,"2,008 MW","1,836 MW","17,425 MW","15,589 MW",283 tonnes,16 g/kWh,49.2%,17.8%,7.3%,25.5%,0.3%,0.0%,"8,568 MW","3,109 MW","1,267 MW","4,435 MW",46 MW,0 MW
"Sun Nov 21, 9 PM - 10 PM",136 MW,"2,157 MW","2,021 MW","16,903 MW","14,882 MW",230 tonnes,14 g/kWh,50.7%,17.9%,5.1%,26.0%,0.3%,0.0%,"8,565 MW","3,031 MW",860 MW,"4,401 MW",46 MW,0 MW
"Sun Nov 21, 10 PM - 11 PM",450 MW,"2,583 MW","2,133 MW","16,222 MW","14,089 MW",104 tonnes,6 g/kWh,52.8%,18.7%,1.1%,27.1%,0.3%,0.0%,"8,566 MW","3,029 MW",186 MW,"4,394 MW",47 MW,0 MW
"Mon Nov 22, 11 PM - 12 AM",177 MW,"2,674 MW","2,497 MW","15,898 MW","13,401 MW",83 tonnes,5 g/kWh,53.8%,17.9%,0.8%,27.2%,0.3%,0.0%,"8,559 MW","2,843 MW",132 MW,"4,317 MW",47 MW,0 MW
"Mon Nov 22, 12 AM - 1 AM",111 MW,"2,915 MW","2,804 MW","15,588 MW","12,784 MW",83 tonnes,5 g/kWh,54.9%,18.2%,0.9%,25.7%,0.3%,0.0%,"8,564 MW","2,841 MW",133 MW,"4,002 MW",48 MW,0 MW
"Mon Nov 22, 1 AM - 2 AM",113 MW,"2,896 MW","2,783 MW","15,238 MW","12,455 MW",83 tonnes,5 g/kWh,56.2%,18.6%,0.9%,23.9%,0.4%,0.0%,"8,567 MW","2,833 MW",133 MW,"3,648 MW",57 MW,0 MW
"Mon Nov 22, 2 AM - 3 AM",125 MW,"2,880 MW","2,755 MW","15,309 MW","12,554 MW",85 tonnes,6 g/kWh,56.0%,18.6%,0.9%,24.1%,0.4%,0.0%,"8,580 MW","2,841 MW",139 MW,"3,689 MW",60 MW,0 MW
"Mon Nov 22, 3 AM - 4 AM",138 MW,"3,208 MW","3,070 MW","15,652 MW","12,582 MW",144 tonnes,9 g/kWh,54.8%,17.4%,1.8%,25.5%,0.4%,0.0%,"8,582 MW","2,725 MW",289 MW,"3,997 MW",59 MW,0 MW
"Mon Nov 22, 4 AM - 5 AM",147 MW,"2,807 MW","2,660 MW","15,441 MW","12,781 MW",251 tonnes,16 g/kWh,55.6%,18.3%,3.6%,22.1%,0.4%,0.0%,"8,580 MW","2,827 MW",560 MW,"3,415 MW",59 MW,0 MW
"Mon Nov 22, 5 AM - 6 AM",195 MW,"2,759 MW","2,564 MW","16,119 MW","13,555 MW",418 tonnes,26 g/kWh,53.3%,18.8%,6.0%,21.6%,0.4%,0.0%,"8,587 MW","3,028 MW",963 MW,"3,480 MW",61 MW,0 MW
"Mon Nov 22, 6 AM - 7 AM",854 MW,"2,833 MW","1,979 MW","16,741 MW","14,762 MW",602 tonnes,36 g/kWh,51.3%,20.0%,8.0%,20.3%,0.4%,0.0%,"8,580 MW","3,354 MW","1,339 MW","3,396 MW",72 MW,0 MW
"Mon Nov 22, 7 AM - 8 AM","1,162 MW","2,244 MW","1,082 MW","17,075 MW","15,993 MW",600 tonnes,35 g/kWh,50.3%,23.0%,7.8%,18.5%,0.4%,0.0%,"8,583 MW","3,920 MW","1,335 MW","3,155 MW",75 MW,7 MW
"Mon Nov 22, 8 AM - 9 AM","1,386 MW","2,175 MW",789 MW,"17,156 MW","16,367 MW",678 tonnes,40 g/kWh,50.0%,23.4%,8.7%,17.0%,0.4%,0.4%,"8,580 MW","4,011 MW","1,500 MW","2,915 MW",75 MW,75 MW
"Mon Nov 22, 9 AM - 10 AM","1,288 MW","2,148 MW",860 MW,"17,036 MW","16,176 MW",661 tonnes,39 g/kWh,50.3%,21.8%,8.7%,17.5%,0.4%,1.2%,"8,576 MW","3,722 MW","1,483 MW","2,982 MW",75 MW,198 MW
"Mon Nov 22, 10 AM - 11 AM",407 MW,"2,181 MW","1,774 MW","17,604 MW","15,830 MW",675 tonnes,38 g/kWh,48.7%,21.1%,8.7%,19.6%,0.4%,1.4%,"8,576 MW","3,716 MW","1,538 MW","3,444 MW",75 MW,255 MW
"Mon Nov 22, 11 AM - 12 PM","1,249 MW","2,199 MW",950 MW,"16,985 MW","16,035 MW",518 tonnes,31 g/kWh,50.5%,19.5%,6.8%,21.4%,0.4%,1.4%,"8,575 MW","3,311 MW","1,151 MW","3,643 MW",75 MW,230 MW
"Mon Nov 22, 12 PM - 1 PM","1,125 MW","2,246 MW","1,121 MW","17,174 MW","16,053 MW",642 tonnes,37 g/kWh,49.9%,17.6%,9.3%,21.5%,0.4%,1.3%,"8,572 MW","3,029 MW","1,591 MW","3,685 MW",75 MW,222 MW
"Mon Nov 22, 1 PM - 2 PM",765 MW,"2,335 MW","1,570 MW","17,659 MW","16,089 MW",733 tonnes,42 g/kWh,48.6%,18.1%,10.6%,21.1%,0.4%,1.1%,"8,574 MW","3,201 MW","1,880 MW","3,730 MW",75 MW,199 MW
"Mon Nov 22, 2 PM - 3 PM","1,193 MW","2,588 MW","1,395 MW","17,645 MW","16,250 MW",802 tonnes,45 g/kWh,48.6%,19.0%,12.3%,18.9%,0.4%,0.7%,"8,571 MW","3,349 MW","2,179 MW","3,343 MW",75 MW,128 MW
"Mon Nov 22, 3 PM - 4 PM","1,485 MW","2,481 MW",996 MW,"17,615 MW","16,619 MW",860 tonnes,49 g/kWh,48.7%,22.2%,11.5%,16.7%,0.4%,0.5%,"8,570 MW","3,907 MW","2,024 MW","2,945 MW",75 MW,94 MW
"Mon Nov 22, 4 PM - 5 PM","2,028 MW","2,682 MW",654 MW,"18,197 MW","17,543 MW","1,100 tonnes",60 g/kWh,47.1%,24.2%,14.0%,14.2%,0.4%,0.1%,"8,572 MW","4,397 MW","2,546 MW","2,593 MW",75 MW,14 MW
"Mon Nov 22, 5 PM - 6 PM","1,601 MW","2,167 MW",566 MW,"19,158 MW","18,592 MW","1,503 tonnes",78 g/kWh,44.8%,25.2%,17.9%,11.8%,0.4%,0.0%,"8,574 MW","4,820 MW","3,422 MW","2,267 MW",75 MW,0 MW
"Mon Nov 22, 6 PM - 7 PM","1,774 MW","1,611 MW",-163 MW,"18,184 MW","18,347 MW","1,400 tonnes",77 g/kWh,47.2%,23.5%,17.6%,11.3%,0.4%,0.0%,"8,574 MW","4,271 MW","3,205 MW","2,059 MW",75 MW,0 MW
"Mon Nov 22, 7 PM - 8 PM","1,727 MW","1,862 MW",135 MW,"18,064 MW","17,929 MW","1,262 tonnes",70 g/kWh,47.5%,23.4%,16.2%,12.5%,0.4%,0.0%,"8,573 MW","4,233 MW","2,918 MW","2,266 MW",74 MW,0 MW
"Mon Nov 22, 8 PM - 9 PM","1,716 MW","2,052 MW",336 MW,"17,829 MW","17,493 MW","1,188 tonnes",67 g/kWh,48.1%,22.1%,15.5%,13.9%,0.4%,0.0%,"8,572 MW","3,946 MW","2,758 MW","2,480 MW",73 MW,0 MW
"Mon Nov 22, 9 PM - 10 PM","1,862 MW","2,299 MW",437 MW,"17,247 MW","16,810 MW","1,158 tonnes",67 g/kWh,49.7%,19.9%,15.6%,14.3%,0.4%,0.0%,"8,575 MW","3,438 MW","2,686 MW","2,473 MW",75 MW,0 MW
"Mon Nov 22, 10 PM - 11 PM","1,822 MW","2,249 MW",427 MW,"16,327 MW","15,900 MW",976 tonnes,60 g/kWh,52.5%,18.7%,13.9%,14.5%,0.4%,0.0%,"8,576 MW","3,055 MW","2,263 MW","2,360 MW",73 MW,0 MW
"Tue Nov 23, 11 PM - 12 AM","1,453 MW","2,200 MW",747 MW,"15,750 MW","15,003 MW",790 tonnes,50 g/kWh,54.5%,19.6%,11.7%,13.8%,0.4%,0.0%,"8,579 MW","3,086 MW","1,841 MW","2,180 MW",64 MW,0 MW
"Tue Nov 23, 12 AM - 1 AM",983 MW,"2,229 MW","1,246 MW","15,543 MW","14,297 MW",763 tonnes,49 g/kWh,55.2%,19.9%,11.3%,13.2%,0.4%,0.0%,"8,582 MW","3,086 MW","1,764 MW","2,051 MW",60 MW,0 MW
"Tue Nov 23, 1 AM - 2 AM",976 MW,"2,337 MW","1,361 MW","15,299 MW","13,938 MW",774 tonnes,51 g/kWh,56.1%,20.6%,11.7%,11.2%,0.4%,0.0%,"8,583 MW","3,157 MW","1,794 MW","1,707 MW",58 MW,0 MW
"Tue Nov 23, 2 AM - 3 AM",746 MW,"2,285 MW","1,539 MW","15,254 MW","13,715 MW",823 tonnes,54 g/kWh,56.4%,20.1%,12.5%,10.6%,0.4%,0.0%,"8,598 MW","3,073 MW","1,908 MW","1,617 MW",58 MW,0 MW
"Tue Nov 23, 3 AM - 4 AM",914 MW,"2,305 MW","1,391 MW","15,044 MW","13,653 MW",829 tonnes,55 g/kWh,57.1%,19.5%,12.8%,10.2%,0.4%,0.0%,"8,597 MW","2,931 MW","1,923 MW","1,535 MW",58 MW,0 MW
"Tue Nov 23, 4 AM - 5 AM","1,024 MW","2,276 MW","1,252 MW","15,134 MW","13,882 MW",817 tonnes,54 g/kWh,56.8%,20.0%,13.3%,9.6%,0.4%,0.0%,"8,593 MW","3,021 MW","2,013 MW","1,449 MW",58 MW,0 MW
"Tue Nov 23, 5 AM - 6 AM","1,663 MW","2,305 MW",642 MW,"15,213 MW","14,571 MW",841 tonnes,55 g/kWh,56.5%,20.2%,15.4%,7.5%,0.4%,0.0%,"8,595 MW","3,069 MW","2,340 MW","1,148 MW",61 MW,0 MW
"Tue Nov 23, 6 AM - 7 AM",37 MW,"1,471 MW","1,434 MW","17,132 MW","15,698 MW","1,113 tonnes",65 g/kWh,50.2%,23.9%,18.9%,6.6%,0.4%,0.0%,"8,598 MW","4,096 MW","3,233 MW","1,135 MW",70 MW,0 MW
"Tue Nov 23, 7 AM - 8 AM",112 MW,"2,233 MW","2,121 MW","18,995 MW","16,874 MW","1,666 tonnes",88 g/kWh,45.3%,23.9%,25.3%,5.1%,0.4%,0.0%,"8,602 MW","4,545 MW","4,803 MW",964 MW,74 MW,7 MW
"Tue Nov 23, 8 AM - 9 AM",107 MW,"1,937 MW","1,830 MW","19,023 MW","17,193 MW","1,749 tonnes",92 g/kWh,45.2%,23.1%,26.8%,4.1%,0.3%,0.4%,"8,598 MW","4,390 MW","5,102 MW",783 MW,66 MW,84 MW
"Tue Nov 23, 9 AM - 10 AM",704 MW,"2,150 MW","1,446 MW","18,160 MW","16,714 MW","1,533 tonnes",84 g/kWh,47.3%,23.2%,24.8%,3.2%,0.3%,1.1%,"8,595 MW","4,222 MW","4,499 MW",576 MW,61 MW,207 MW
"Tue Nov 23, 10 AM - 11 AM","1,395 MW","2,157 MW",762 MW,"17,222 MW","16,460 MW","1,355 tonnes",79 g/kWh,49.9%,23.5%,22.0%,2.7%,0.4%,1.6%,"8,593 MW","4,052 MW","3,781 MW",457 MW,71 MW,268 MW
"Tue Nov 23, 11 AM - 12 PM","1,599 MW","2,028 MW",429 MW,"16,645 MW","16,216 MW","1,166 tonnes",70 g/kWh,51.6%,23.4%,20.0%,3.0%,0.4%,1.6%,"8,588 MW","3,898 MW","3,324 MW",499 MW,74 MW,262 MW
"Tue Nov 23, 12 PM - 1 PM","1,830 MW","2,106 MW",276 MW,"16,486 MW","16,210 MW","1,041 tonnes",63 g/kWh,52.1%,23.5%,18.7%,3.7%,0.4%,1.5%,"8,586 MW","3,874 MW","3,084 MW",617 MW,74 MW,251 MW
"Tue Nov 23, 1 PM - 2 PM","2,166 MW","2,255 MW",89 MW,"16,295 MW","16,206 MW","1,012 tonnes",62 g/kWh,52.7%,23.1%,18.6%,3.7%,0.5%,1.4%,"8,586 MW","3,766 MW","3,029 MW",610 MW,75 MW,229 MW
"Tue Nov 23, 2 PM - 3 PM","2,106 MW","2,425 MW",319 MW,"16,581 MW","16,262 MW","1,181 tonnes",71 g/kWh,51.8%,24.2%,20.2%,2.4%,0.5%,0.9%,"8,585 MW","4,017 MW","3,345 MW",404 MW,75 MW,155 MW
"Tue Nov 23, 3 PM - 4 PM","2,158 MW","2,431 MW",273 MW,"17,048 MW","16,775 MW","1,373 tonnes",81 g/kWh,50.4%,24.7%,22.1%,1.9%,0.4%,0.4%,"8,590 MW","4,213 MW","3,776 MW",329 MW,74 MW,66 MW
"Tue Nov 23, 4 PM - 5 PM","1,108 MW","1,833 MW",725 MW,"18,404 MW","17,679 MW","1,756 tonnes",95 g/kWh,46.7%,24.5%,26.2%,2.1%,0.4%,0.0%,"8,595 MW","4,511 MW","4,820 MW",395 MW,74 MW,9 MW
"Tue Nov 23, 5 PM - 6 PM","1,177 MW","1,616 MW",439 MW,"19,159 MW","18,720 MW","1,894 tonnes",99 g/kWh,44.8%,23.8%,27.9%,3.1%,0.4%,0.0%,"8,592 MW","4,560 MW","5,340 MW",592 MW,75 MW,0 MW
"Tue Nov 23, 6 PM - 7 PM","1,926 MW","2,400 MW",474 MW,"18,978 MW","18,504 MW","1,768 tonnes",93 g/kWh,45.3%,23.9%,25.9%,4.6%,0.4%,0.0%,"8,593 MW","4,532 MW","4,912 MW",867 MW,74 MW,0 MW
"Tue Nov 23, 7 PM - 8 PM","2,092 MW","2,420 MW",328 MW,"18,517 MW","18,189 MW","1,645 tonnes",89 g/kWh,46.4%,22.8%,24.2%,6.2%,0.4%,0.0%,"8,591 MW","4,221 MW","4,477 MW","1,155 MW",73 MW,0 MW
"Tue Nov 23, 8 PM - 9 PM","2,231 MW","2,280 MW",49 MW,"17,839 MW","17,790 MW","1,455 tonnes",82 g/kWh,48.1%,21.0%,22.4%,8.1%,0.4%,0.0%,"8,586 MW","3,738 MW","3,990 MW","1,452 MW",73 MW,0 MW
"Tue Nov 23, 9 PM - 10 PM","2,230 MW","2,195 MW",-35 MW,"17,086 MW","17,121 MW","1,118 tonnes",65 g/kWh,50.2%,20.6%,18.7%,10.0%,0.4%,0.0%,"8,585 MW","3,520 MW","3,194 MW","1,713 MW",74 MW,0 MW
