,imports,exports,netImportExports,POWER GENERATED,ONTARIO DEMAND,TOTAL EMISSIONS,CO2e INTENSITY,nuclearPercentage,hydroPercentage,gasPercentage,windPercentage,biofuelPercentage,solarPercentage,nuclearOutput,hydroOutput,gasOutput,windOutput,biofuelOutput,solarOutput
"Thu Jun 15, 8 PM - 9 PM",9 MW,"1,584 MW","1,575 MW","18,087 MW","16,512 MW","1,408 tonnes",78 g/kWh,44.6%,28.0%,22.1%,4.9%,0.5%,0.0%,"8,062 MW","5,058 MW","3,996 MW",883 MW,82 MW,6 MW
"Thu Jun 15, 9 PM - 10 PM",9 MW,"1,602 MW","1,593 MW","17,820 MW","16,227 MW","1,419 tonnes",80 g/kWh,45.3%,25.1%,22.6%,6.5%,0.4%,0.0%,"8,077 MW","4,478 MW","4,030 MW","1,155 MW",80 MW,0 MW
"Thu Jun 15, 10 PM - 11 PM",9 MW,"1,406 MW","1,397 MW","16,230 MW","14,833 MW","1,049 tonnes",65 g/kWh,49.8%,25.8%,18.6%,5.4%,0.4%,0.0%,"8,087 MW","4,188 MW","3,013 MW",870 MW,72 MW,0 MW
"Fri Jun 16, 11 PM - 12 AM",9 MW,"1,083 MW","1,074 MW","15,140 MW","14,066 MW",846 tonnes,56 g/kWh,53.5%,25.1%,17.3%,4.0%,0.2%,0.0%,"8,099 MW","3,793 MW","2,612 MW",608 MW,28 MW,0 MW
"Fri Jun 16, 12 AM - 1 AM",9 MW,"1,289 MW","1,280 MW","14,397 MW","13,117 MW",507 tonnes,35 g/kWh,56.2%,25.7%,12.0%,5.9%,0.1%,0.0%,"8,093 MW","3,707 MW","1,724 MW",856 MW,17 MW,0 MW
"Fri Jun 16, 1 AM - 2 AM",9 MW,860 MW,851 MW,"13,445 MW","12,594 MW",370 tonnes,27 g/kWh,60.2%,25.9%,7.0%,6.8%,0.1%,0.0%,"8,089 MW","3,487 MW",944 MW,908 MW,17 MW,0 MW
"Fri Jun 16, 2 AM - 3 AM",9 MW,"1,044 MW","1,035 MW","13,280 MW","12,245 MW",362 tonnes,27 g/kWh,60.9%,26.8%,5.5%,6.6%,0.1%,0.0%,"8,089 MW","3,562 MW",732 MW,880 MW,17 MW,0 MW
"Fri Jun 16, 3 AM - 4 AM",9 MW,"1,091 MW","1,082 MW","13,080 MW","11,998 MW",360 tonnes,28 g/kWh,61.8%,25.9%,5.6%,6.6%,0.1%,0.0%,"8,087 MW","3,382 MW",728 MW,866 MW,17 MW,0 MW
"Fri Jun 16, 4 AM - 5 AM",9 MW,"1,276 MW","1,267 MW","13,235 MW","11,968 MW",348 tonnes,26 g/kWh,61.1%,25.8%,5.4%,7.6%,0.1%,0.0%,"8,087 MW","3,411 MW",709 MW,"1,011 MW",17 MW,0 MW
"Fri Jun 16, 5 AM - 6 AM",9 MW,939 MW,930 MW,"13,284 MW","12,354 MW",445 tonnes,34 g/kWh,60.9%,26.1%,7.6%,5.3%,0.1%,0.0%,"8,085 MW","3,465 MW","1,015 MW",702 MW,17 MW,0 MW
"Fri Jun 16, 6 AM - 7 AM",9 MW,"1,009 MW","1,000 MW","14,290 MW","13,290 MW",643 tonnes,45 g/kWh,56.5%,25.5%,11.6%,6.1%,0.1%,0.0%,"8,080 MW","3,649 MW","1,664 MW",876 MW,17 MW,4 MW
"Fri Jun 16, 7 AM - 8 AM",9 MW,961 MW,952 MW,"15,208 MW","14,256 MW",863 tonnes,57 g/kWh,53.1%,26.2%,15.3%,5.2%,0.1%,0.1%,"8,073 MW","3,983 MW","2,320 MW",796 MW,17 MW,19 MW
"Fri Jun 16, 8 AM - 9 AM",9 MW,909 MW,900 MW,"15,658 MW","14,758 MW","1,000 tonnes",64 g/kWh,51.5%,25.8%,17.1%,5.2%,0.1%,0.4%,"8,068 MW","4,035 MW","2,672 MW",807 MW,17 MW,59 MW
"Fri Jun 16, 9 AM - 10 AM",9 MW,974 MW,965 MW,"15,969 MW","15,004 MW","1,080 tonnes",68 g/kWh,50.5%,24.9%,18.3%,5.3%,0.1%,0.8%,"8,068 MW","3,980 MW","2,923 MW",853 MW,23 MW,122 MW
"Fri Jun 16, 10 AM - 11 AM",9 MW,"1,128 MW","1,119 MW","16,137 MW","15,018 MW","1,059 tonnes",66 g/kWh,49.9%,24.3%,18.4%,5.9%,0.4%,1.0%,"8,059 MW","3,914 MW","2,974 MW",960 MW,63 MW,167 MW
"Fri Jun 16, 11 AM - 12 PM",9 MW,"1,371 MW","1,362 MW","16,404 MW","15,042 MW",972 tonnes,59 g/kWh,49.1%,24.0%,17.7%,7.3%,0.4%,1.4%,"8,059 MW","3,929 MW","2,910 MW","1,197 MW",73 MW,236 MW
"Fri Jun 16, 12 PM - 1 PM",9 MW,"1,668 MW","1,659 MW","16,906 MW","15,247 MW","1,065 tonnes",63 g/kWh,47.7%,24.1%,18.8%,7.5%,0.4%,1.5%,"8,067 MW","4,079 MW","3,174 MW","1,268 MW",72 MW,246 MW
